Ticket subject,Ticket Type,Ticket priority,Module,Product
Integration MS Teams (Shift) and Sprout,Enhancement,Normal,Others,Sprout HR
Integration MS Teams (Shift) and Sprout,Enhancement,Normal,Work Schedule,Sprout HR
G & S Transport Corporation,Task,Normal,Employee Profile,Sprout HR
G & S Transport Corporation,Task,Normal,Employee Profile,Sprout Payroll
Instacash error I Alexis May Sagun,Problem,Normal,Instacash Widget,Sprout Instacash
Instacash error I Alexis May Sagun,Problem,Normal,Sprout Instacash: Re-Loan,Sprout Instacash
[Seado\] PAYROLL: COULD NOT POST,Problem,Normal,Payroll Runs,Sprout Payroll
Century Peak HR/Payroll - Sprout Error on Cebu Branch,Problem,Normal,Work Schedule,Sprout HR
Century Peak HR/Payroll - Sprout Error on Cebu Branch,Problem,Normal,Work Schedule,Sprout Payroll
Request to Unpost Approved Final Pay,Question,Normal,Payroll Runs,Sprout Payroll
Goldenduck International Philippines Corp - Module Payroll,Problem,Normal,Attendance Report,Sprout HR
RE: Goldenduck International Philippines Corp  - Insights Dahboard,Problem,Normal,Others,Sprout Insight
Change Request - CRF-18430 - NETL BPO SERVICES INC,Problem,Normal,Login,Sprout Mobile
Change Request -  - Digital Maas Inc.,Task,Normal,Activation,Sprout HR
Change Request -  - Digital Maas Inc.,Task,Normal,Compensatory Time Off,Sprout HR
Change Request -  - Digital Maas Inc.,Task,Normal,Deactivation,Sprout Instacash
Change Request -  - Digital Maas Inc.,Task,Normal,Instacash Widget,Sprout Instacash
BIOLOGS NOT REFLECTED ON ATTENDANCE REPORT,Problem,Normal,Attendance Report,Sprout HR
"Digital Maas, Inc.: General Inquiry on Auto-Log Out",Question,Low,Others,Sprout HR
Leong Hup: Insight - Blank Data,Problem,Normal,Insight: Overtime Dashboard,Sprout Insight
Instacash Loan Concern I Julius Namqui,Task,Normal,InstaCash: Payments,Sprout Instacash
Change Request - CRF-18431 - KMC Solutions,Task,Normal,Employee Profile,Sprout HR
incentives for upload,Problem,Normal,One-time Adjustments,Sprout Payroll
Change Request - CRF-18432 - Reliasourcing,Task,Normal,Attendance Report,Sprout HR
Change Request - CRF-18432 - Reliasourcing,Task,Normal,Backend Policy,Sprout HR
Instacash Loan Concern I Gwendelyn Namqui,Task,Normal,InstaCash: Payments,Sprout Instacash
Palawan: Re: SPROUT APPLICATION CONCERN,Problem,High,Official Business Application,Sprout HR
Urgent Request for Investigation: Accounts Locking Issue in Sprout Mobile App,Problem,Normal,Account Lockout,Sprout Mobile
Urgent Request for Investigation: Accounts Locking Issue in Sprout Mobile App,Problem,Normal,Login,Sprout Mobile
Instacash Loan Concern I Gipzy Caguia,Task,Normal,InstaCash: Payments,Sprout Instacash
UNPAID HOLIDAY & NO PREMIUM PAY,Problem,Normal,Attendance Report,Sprout HR
UNPAID HOLIDAY & NO PREMIUM PAY,Problem,Normal,Holidays,Sprout HR
UNPAID HOLIDAY & NO PREMIUM PAY,Problem,Normal,Schedule Adjustment Application,Sprout HR
generation of bank list,Problem,Normal,Bank File,Sprout Payroll
LWOP,Question,Low,Leave Application,Sprout HR
Change Request - CRF-18433 - Pontoon,Problem,Low,Users,Sprout HR
Change Request - CRF-18433 - Pontoon,Problem,Low,Users,Sprout Payroll
Instacash Loan Concern I Jarold Joseph Jalalon,Task,Normal,InstaCash: Payments,Sprout Instacash
Instacash Loan Concern I Gabrielle Louise Montero,Task,Normal,InstaCash: Payments,Sprout HR
Instacash Loan Concern I Paula Jean Santos,Task,Normal,InstaCash: Payments,Sprout Instacash
Sprout HR Account Creation - 365FS - 365foodandsupply.hrhub.ph,Task,Normal,Account Creation,Sprout HR
Sprout HR Account Creation - 365FS - 365foodandsupply.hrhub.ph,Task,Normal,Account Creation,Sprout Payroll
Employees have Suspension,Enhancement,Normal,Employment Status,Sprout HR
Employees have Suspension,Enhancement,Normal,Employment Status,Sprout Payroll
Employees have Suspension,Enhancement,Normal,Payroll Runs,Sprout HR
Employees have Suspension,Enhancement,Normal,Payroll Runs,Sprout Payroll
Cloudconsole - Sprout HR - compressed work week query,Enhancement,Normal,Work Schedule,Sprout HR
Instacash Loan Concern I Janice Van Cleave,Task,Normal,InstaCash: Payments,Sprout Instacash
ISSI: SEPARATION DATE- END OF CONTRACT EMPLOYEES,Enhancement,Normal,Employment Status,Sprout HR
ISSI: SEPARATION DATE- END OF CONTRACT EMPLOYEES,Enhancement,Normal,Work Information,Sprout HR
Username & Email Matched | SSO - Apotheca,Task,Normal,SSO,Sprout HR
Username & Email Matched | SSO - Apotheca,Task,Normal,SSO,Sprout Payroll
Username & Email Matched | SSO - Apotheca,Task,Normal,Users,Sprout HR
Username & Email Matched | SSO - Apotheca,Task,Normal,Users,Sprout Payroll
Instacash Loan Concern I Myrelle Anne Manaligod,Task,Normal,InstaCash: Payments,Sprout Instacash
Change Request - CRF-18434 - CloudConsole Inc.,Question,Normal,Backend Policy,Sprout HR
Change Request - CRF-18434 - CloudConsole Inc.,Question,Normal,Work Schedule,Sprout HR
Change Request - CRF-18435 - CBK,Task,Normal,Mobile App Device Registration (Link/Unlink/Add/Remove),Sprout Mobile
Enshored: Issue when editing a filed leave,Problem,Normal,Leave Application,Sprout HR
Gan Advanced Osseointegration Center (GAOC): Why Can file OT after 3 Days ??,Problem,Normal,Backend Policy,Sprout HR
Gan Advanced Osseointegration Center (GAOC): Why Can file OT after 3 Days ??,Problem,Normal,Overtime Application,Sprout HR
Gan Advanced Osseointegration Center (GAOC): Why Can file OT after 3 Days ??,Problem,Normal,Overtimes,Sprout HR
Change Request - CRF-18436 - Gentleprince Incorporated,Task,High,SSO,Sprout HR
Change Request - CRF-18436 - Gentleprince Incorporated,Task,High,SSO,Sprout Payroll
Change Request - CRF-18436 - Gentleprince Incorporated,Task,High,Users,Sprout HR
Change Request - CRF-18436 - Gentleprince Incorporated,Task,High,Users,Sprout Payroll
ENSHORED: Required Data for Clean-up in preparation for SSO,Problem,Normal,SSO,Sprout HR
ENSHORED: Required Data for Clean-up in preparation for SSO,Problem,Normal,SSO,Sprout Payroll
RE: Payslip Concern,Enhancement,Normal,Payslip,Sprout Payroll
Sprout Benefits: Loans - #1300 KMC SOLUTIONS,Problem,Normal,InstaCash: Payments,Sprout Instacash
[INTERNAL] Username & Email Matched | GOGO IT Lab,Task,Normal,Login,Sprout HR
[INTERNAL] Username & Email Matched | GOGO IT Lab,Task,Normal,Login,Sprout Payroll
[INTERNAL] Username & Email Matched | GOGO IT Lab,Task,Normal,SSO,Sprout HR
[INTERNAL] Username & Email Matched | GOGO IT Lab,Task,Normal,SSO,Sprout Payroll
NEARSOL - SSO data checking,Task,Normal,SSO,Sprout HR
"Re: FOLLOW UP: I-FERN CORPORATION Instacash Loan - Statement of Accounts April 15, 2024",Problem,Normal,Instacash Widget,Sprout Instacash
"Re: FOLLOW UP: I-FERN CORPORATION Instacash Loan - Statement of Accounts April 15, 2024",Problem,Normal,Loans,Sprout Instacash
Instacash loan concern I Aubrey Mae Manalo,Problem,Normal,InstaCash: Payments,Sprout Instacash
Change Request - CRF-18437 - Full Potential Solutions,Task,Normal,Activation,Sprout HR
Change Request - CRF-18437 - Full Potential Solutions,Task,Normal,Pre/Post-Migration Report,Sprout HR
Sprout Payroll Inquiry,Question,Normal,Payroll - Company Profile,Sprout Payroll
SL Credits,Question,Low,Insight: Planned Leaves Dashboard,Sprout HR
SL Credits,Question,Low,Leave Credits Upload,Sprout HR
SL Credits,Question,Low,Leave Plans and Usage,Sprout HR
SL Credits,Question,Low,Leave Types and Policies,Sprout HR
SL Credits,Question,Low,Leaves,Sprout HR
TRICENTIS INCORPORATION: NEW URL,Problem,Low,Account Creation,Sprout HR
TRICENTIS INCORPORATION: NEW URL,Problem,Low,Account Creation,Sprout Payroll
TRICENTIS INCORPORATION: NEW URL,Problem,Low,Others,Sprout HR
TRICENTIS INCORPORATION: NEW URL,Problem,Low,Others,Sprout Payroll
AirNav Technology Services Incorporated: Flexi Per Week,Problem,Normal,Work Schedule,Sprout HR
Enshored: Walkthrough (Another CA Needed),Question,Low,Others,Sprout HR
legal holiday pay,Problem,Normal,Attendance Report,Sprout HR
legal holiday pay,Problem,Normal,Backend Policy,Sprout HR
legal holiday pay,Problem,Normal,Holidays,Sprout HR
Query,Problem,Normal,InstaCash: Payments,Sprout Instacash
Payment already deducted but still showing PENDING,Problem,Normal,Instacash Widget,Sprout Instacash
Payment already deducted but still showing PENDING,Problem,Normal,Loans,Sprout Instacash
Resubmitted Leave Application,Problem,Normal,Leave Types and Policies,Sprout HR
Resubmitted Leave Application,Problem,Normal,Leaves,Sprout HR
Payments not Reflecting on Dashboard,Problem,Normal,InstaCash: Payments,Sprout Instacash
RS CONCEPTS INC: Compensatory Time-Off,Enhancement,Normal,Compensatory Time Off,Sprout HR
RS CONCEPTS INC: Compensatory Time-Off,Enhancement,Normal,Leave Plans and Usage,Sprout HR
RS CONCEPTS INC: Compensatory Time-Off,Enhancement,Normal,Overtime Application,Sprout HR
RE: Instacash Inquiry,Problem,Normal,Instacash Widget,Sprout Instacash
RE: Instacash Inquiry,Problem,Normal,Loans,Sprout Instacash
Walkthrough: Activation of single sign on,Problem,Normal,Login,Sprout HR
Walkthrough: Activation of single sign on,Problem,Normal,Login,Sprout Payroll
Walkthrough: Activation of single sign on,Problem,Normal,SSO,Sprout HR
Walkthrough: Activation of single sign on,Problem,Normal,SSO,Sprout Payroll
Re: BIOMETRIC LOGS NOT REFLECTING,Question,Low,Biologs,Sprout HR
Re: BIOMETRIC LOGS NOT REFLECTING,Question,Low,Biometrics Device,Sprout HR
DEVELOPMENTEX ASIA RHQ/ SPROUT HR - EMPLOYEE LEAVES,Problem,Normal,Approval Center,Sprout HR
DEVELOPMENTEX ASIA RHQ/ SPROUT HR - EMPLOYEE LEAVES,Problem,Normal,Leave Plans and Usage,Sprout HR
DEVELOPMENTEX ASIA RHQ/ SPROUT HR - EMPLOYEE LEAVES,Problem,Normal,Leave Types and Policies,Sprout HR
DEVELOPMENTEX ASIA RHQ/ SPROUT HR - EMPLOYEE LEAVES,Problem,Normal,Leaves,Sprout HR
Fwd: Assessment URL Reset Database,Task,Normal,Mirror Database,Sprout HR
Fwd: Sprout Error - invalid password in posting payrun,Question,Low,Payroll Runs,Sprout Payroll
Fwd: Goldenduck International Philippines Corp - Insights Dahboard,Non Support,Low,Non - Support,Sprout Insight
Fwd: Access Level Problem,Problem,Normal,Access Levels,Sprout HR
Fwd: Access Level Problem,Problem,Normal,Admin Dashboard,Sprout HR
Fwd: Assessment URL Reset Database,Task,Normal,Mirror Database,Sprout HR
Re: BIOMETRIC LOGS NOT REFLECTING,Question,Low,Biometrics Device,Sprout HR
Alternative Food Corp (AFC) - Mobile App Integration,Question,Normal,Activation,Sprout Mobile
Alternative Food Corp (AFC) - Mobile App Integration,Question,Normal,Geofencing,Sprout Mobile
Alternative Food Corp (AFC) - Mobile App Integration,Question,Normal,Geotagging,Sprout Mobile
Alternative Food Corp (AFC) - Mobile App Integration,Question,Normal,Mobile Bundy,Sprout Mobile
FW: Sprout Instacash: Deducted on payroll but not updated in Instacash,Problem,Normal,InstaCash: Payments,Sprout Instacash
InstaCash outstanding balance.,Problem,Normal,Instacash Widget,Sprout Instacash
InstaCash outstanding balance.,Problem,Normal,Loans,Sprout Instacash
Available Balance Not Updated (Ref. Code: 093-35-00922-7),Task,Normal,InstaCash: Payments,Sprout Instacash
Change Request -  - Harbour City Dimsum House Co.,Task,Normal,Backend Policy,Sprout Payroll
Normal Payroll - 13th month pay was included,Problem,Normal,Pre-Annualization,Sprout Payroll
INSTACASH STATUS,Problem,Normal,InstaCash: Payments,Sprout Instacash
Instacash details not updated in Sprout,Task,Normal,InstaCash: Payments,Sprout Instacash
Change Request - CRF-18438 - Pbsp,Task,Normal,Mobile App Device Registration (Link/Unlink/Add/Remove),Sprout Mobile
Non payment of Holiday Pay,Problem,Normal,Holidays,Sprout HR
Non payment of Holiday Pay,Problem,Normal,Work Schedule,Sprout HR
No BIR in Sprout,Problem,Normal,BIR - 2316,Sprout Payroll
Update_HR Admin new Contact information,Question,Low,Others,Sprout HR
Re: Flexible per week_ no bio logs,Problem,Normal,Attendance Management,Sprout HR
Re: Flexible per week_ no bio logs,Problem,Normal,Attendance Report,Sprout HR
Re: Flexible per week_ no bio logs,Problem,Normal,Schedule Adjustments,Sprout HR
Re: Flexible per week_ no bio logs,Problem,Normal,Timesheet Lock,Sprout HR
Re: Sprout Concern: OT setup,Problem,Normal,Overtime Application,Sprout HR
Re: Sprout Concern: OT setup,Problem,Normal,Overtimes,Sprout HR
Re: Instacash Reference Code 093-35-00280-2,Problem,Normal,Instacash Widget,Sprout Instacash
Re: Instacash Reference Code 093-35-00280-2,Problem,Normal,InstaCash: Payments,Sprout Instacash
Re: Sprout App - Issue,Problem,Normal,Others,Sprout Mobile
Change Request - CRF-18439 - ADERIZE PHILIPPINES ADS OPC,Problem,Normal,Backend Policy,Sprout HR
Change Request - CRF-18439 - ADERIZE PHILIPPINES ADS OPC,Problem,Normal,Holidays,Sprout HR
Change Request - CRF-18439 - ADERIZE PHILIPPINES ADS OPC,Problem,Normal,Overtime Application,Sprout HR
Change Request - CRF-18439 - ADERIZE PHILIPPINES ADS OPC,Problem,Normal,Overtimes,Sprout HR
RE: Unable to Access Sprout Payroll_Urgent,Problem,Urgent,Login,Sprout HR
RE: Unable to Access Sprout Payroll_Urgent,Problem,Urgent,Login,Sprout Payroll
RE: Unable to Access Sprout Payroll_Urgent,Problem,Urgent,SSO,Sprout HR
RE: Unable to Access Sprout Payroll_Urgent,Problem,Urgent,SSO,Sprout Payroll
ASSISTANCE_SSO Migration,Problem,High,Email Notification,Sprout HR
ASSISTANCE_SSO Migration,Problem,High,Email Notification,Sprout Payroll
ASSISTANCE_SSO Migration,Problem,High,Login,Sprout HR
ASSISTANCE_SSO Migration,Problem,High,Login,Sprout Payroll
ASSISTANCE_SSO Migration,Problem,High,SSO,Sprout HR
ASSISTANCE_SSO Migration,Problem,High,SSO,Sprout Payroll
KMC Masterfile 04/16/2024,Task,Normal,Employee List Report,Sprout HR
Sprout Ecosystem,Problem,Normal,Email Notification,Sprout Ecosystem
Sprout Ecosystem,Problem,Normal,Email Notification,Sprout HR
Sprout Ecosystem,Problem,Normal,Email Notification,Sprout Payroll
Sprout Ecosystem,Problem,Normal,SSO,Sprout Ecosystem
Sprout Ecosystem,Problem,Normal,SSO,Sprout HR
Sprout Ecosystem,Problem,Normal,SSO,Sprout Payroll
Re: MyPass Inc Ticket Request #195609,Enhancement,Normal,Employment Record,Sprout HR
Sprout account,Problem,High,Login,Sprout HR
Sprout account,Problem,High,SSO,Sprout HR
SSO.SPROUT.PH,Non Support,Low,Email Notification,Sprout HR
SSO.SPROUT.PH,Non Support,Low,Email Notification,Sprout Payroll
SSO.SPROUT.PH,Non Support,Low,Login,Sprout HR
SSO.SPROUT.PH,Non Support,Low,Login,Sprout Payroll
SSO.SPROUT.PH,Non Support,Low,Non - Support,Sprout HR
SSO.SPROUT.PH,Non Support,Low,Non - Support,Sprout Payroll
SSO.SPROUT.PH,Non Support,Low,SSO,Sprout HR
SSO.SPROUT.PH,Non Support,Low,SSO,Sprout Payroll
CAN'T ACCESS SPROUT PAYROLL,Problem,Urgent,Login,Sprout HR
CAN'T ACCESS SPROUT PAYROLL,Problem,Urgent,Login,Sprout Payroll
CAN'T ACCESS SPROUT PAYROLL,Problem,Urgent,SSO,Sprout HR
CAN'T ACCESS SPROUT PAYROLL,Problem,Urgent,SSO,Sprout Payroll
CAN'T ACCESS SPROUT PAYROLL,Problem,Urgent,Users,Sprout HR
CAN'T ACCESS SPROUT PAYROLL,Problem,Urgent,Users,Sprout Payroll
SSO Not Working,Problem,Urgent,Activation,Sprout HR
SSO Not Working,Problem,Urgent,Activation,Sprout Payroll
SSO Not Working,Problem,Urgent,Email Notification,Sprout HR
SSO Not Working,Problem,Urgent,Email Notification,Sprout Payroll
SSO Not Working,Problem,Urgent,SSO,Sprout HR
SSO Not Working,Problem,Urgent,SSO,Sprout Payroll
"Grace Asia, Inc_Sprout HR_Locked Account",Problem,Normal,Account Lockout,Sprout HR
"Grace Asia, Inc_Sprout HR_Locked Account",Problem,Normal,Employee Profile,Sprout HR
"Grace Asia, Inc_Sprout HR_Locked Account",Problem,Normal,Forgot Password,Sprout HR
Re: Reset Details - Cannot Login,Problem,High,Login,Sprout HR
Re: Reset Details - Cannot Login,Problem,High,SSO,Sprout HR
INQUIRY,Problem,Normal,InstaCash: Payments,Sprout Instacash
Sprout Payroll - Inaccessible,Problem,Normal,Login,Sprout HR
Sprout Payroll - Inaccessible,Problem,Normal,Login,Sprout Payroll
Sprout Payroll - Inaccessible,Problem,Normal,SSO,Sprout HR
Sprout Payroll - Inaccessible,Problem,Normal,SSO,Sprout Payroll
Cannot download file,Problem,Normal,BIR - 2316,Sprout Payroll
Cannot download file,Problem,Normal,Payroll - Payroll Summary,Sprout Payroll
Caspio - HR - CTO,Problem,Normal,Approval Center,Sprout HR
Caspio - HR - CTO,Problem,Normal,Attendance Report,Sprout HR
Caspio - HR - CTO,Problem,Normal,Compensatory Time Off,Sprout HR
Caspio - HR - CTO,Problem,Normal,Overtime Application,Sprout HR
Caspio - HR - CTO,Problem,Normal,Overtimes,Sprout HR
Change Request -  - AirNav Technology Services Incorporated,Task,Normal,Backend Policy,Sprout HR
Change Request -  - AirNav Technology Services Incorporated,Task,Normal,Compensatory Time Off,Sprout HR
LOG IN CONCERT,Problem,Normal,Login,Sprout HR
LOG IN CONCERT,Problem,Normal,Login,Sprout Payroll
LOG IN CONCERT,Problem,Normal,SSO,Sprout HR
LOG IN CONCERT,Problem,Normal,SSO,Sprout Payroll
FW: ERROR SPROUT - INSTA CASH,Problem,Normal,Instacash Widget,Sprout Instacash
FW: ERROR SPROUT - INSTA CASH,Problem,Normal,Loans,Sprout Instacash
FW: Sprout Instacash,Problem,Normal,Instacash Widget,Sprout Instacash
FW: Sprout Instacash,Problem,Normal,Loans,Sprout Instacash
Fw: [IMPORTANT] SSO Activation,Problem,High,Email Notification,Sprout HR
Fw: [IMPORTANT] SSO Activation,Problem,High,Email Notification,Sprout Payroll
Fw: [IMPORTANT] SSO Activation,Problem,High,Login,Sprout HR
Fw: [IMPORTANT] SSO Activation,Problem,High,Login,Sprout Payroll
Fw: [IMPORTANT] SSO Activation,Problem,High,SSO,Sprout HR
Fw: [IMPORTANT] SSO Activation,Problem,High,SSO,Sprout Payroll
Part Timer Leave,Enhancement,Low,Leave Application,Sprout HR
Change Request -  - Pro Source Global BPO Inc.,Task,Normal,Compensatory Time Off,Sprout HR
Reset Password / Update Password Problem.,Problem,Normal,Email Notification,Sprout HR
Reset Password / Update Password Problem.,Problem,Normal,Email Notification,Sprout Payroll
Reset Password / Update Password Problem.,Problem,Normal,SSO,Sprout HR
Reset Password / Update Password Problem.,Problem,Normal,SSO,Sprout Payroll
