Ticket subject,Ticket Type,Ticket priority,Module,Product
Kroma_Sprout Assistance on the Salary Adjustment - KR-0077,Enhancement,Low,Salary,Sprout Payroll
Change Request - CRF-18429 - PSO (Manila) Limited Philippine Branc Office,Task,Normal,Deactivation,Sprout Mobile
Change Request - CRF-18429 - PSO (Manila) Limited Philippine Branc Office,Task,Normal,Payslip,Sprout Mobile
Bark PHL Inc - Overtime Inquiry,Problem,Normal,Overtime Application,Sprout HR
Bark PHL Inc - Overtime Inquiry,Problem,Normal,Overtime Application,Sprout Payroll
Bark PHL Inc - Overtime Inquiry,Problem,Normal,Overtimes,Sprout HR
Bark PHL Inc - Overtime Inquiry,Problem,Normal,Overtimes,Sprout Payroll
Holiday Duty: Schedule adjustment concern,Problem,Normal,Attendance Management,Sprout HR
Holiday Duty: Schedule adjustment concern,Problem,Normal,Attendance Report,Sprout HR
Holiday Duty: Schedule adjustment concern,Problem,Normal,Holidays,Sprout HR
Holiday Duty: Schedule adjustment concern,Problem,Normal,Schedule Adjustments,Sprout HR
Kyocera: SSO ready?,Task,Normal,SSO,Sprout HR
Kyocera: SSO ready?,Task,Normal,SSO,Sprout Payroll
Kyocera: SSO ready?,Task,Normal,Users,Sprout HR
Kyocera: SSO ready?,Task,Normal,Users,Sprout Payroll
Newbig-Sprout HR-Holiday,Question,Normal,Holidays,Sprout HR
RE: Instacash payment update and deduction,Task,Normal,InstaCash: Payments,Sprout Instacash
Instacash Loan Concern I Donald Tapan II,Task,Normal,InstaCash: Payments,Sprout Instacash
Same Issue in Sprout as Mine,Problem,Normal,Login,Sprout HR
Concern for Payroll Records Exporting,Problem,Normal,Bulk Upload: Employee Information,Sprout Payroll
Integration MS Teams (Shift) and Sprout,Enhancement,Normal,Log out,Sprout HR
Integration MS Teams (Shift) and Sprout,Enhancement,Normal,Login,Sprout HR
